2019/4/29,ef,上海市Adults,9,"['新梅联合广场中心', '大宁国际中心', '人民广场中心', '五角场中心', '徐家汇中心', '莘庄中心', '中山公园中心', '静安寺中心', '张江中心']"
2019/4/29,ef,北京市Adults,11,"['崇文门新世界中心', '大望路中心', '东直门中心', '复兴门中心', '国贸中心', '三元桥中心', '西直门中心', '亚运村中心', '中关村中心', '万寿路中心', '五道口中心']"
2019/4/29,ef,广州市Adults,5,"['公园前中心', '江南西中心', '天河北中心', '万菱汇中心', '高德置地中心']"
2019/4/29,ef,深圳市Adults,6,"['市民中心中心', '万象中心', '世纪汇中心', '南山中心', '科技园中心', '福田CBD中心']"
2019/4/29,ef,杭州市Adults,4,"['城西中心', '武林中心', '滨江中心', '西溪印象城中心']"
2019/4/29,ef,天津市Adults,3,"['南京路中心', '天津滨海中心', '天津大悦城中心']"
2019/4/29,ef,南京市Adults,3,"['海尚海中心', '建邺万达中心', '南京江宁中心']"
2019/4/29,ef,无锡市Adults,2,"['云蝠中心', '无锡滨湖中心']"
2019/4/29,ef,佛山市Adults,1,['祖庙中心']
2019/4/29,ef,成都市Adults,7,"['天府广场中心', '来福士广场中心', '万象城中心', '凯德金牛中心', '凯德天府中心', '银泰城中心', '双楠伊藤中心']"
2019/4/29,ef,武汉市Adults,4,"['武汉汉街中心', '武汉天地中心', '武汉光谷中心(Lite)', '武汉光谷中心']"
2019/4/29,ef,东莞市Adults,1,['南城中心']
2019/4/29,ef,宁波市Adults,1,['天一中心']
2019/4/29,ef,重庆市Adults,1,['观音桥中心']
2019/4/29,ef,西安市Adults,2,"['西高新中心', '小寨中心']"
2019/4/29,ef,苏州市Adults,2,"['晋合中心', '苏州昆山中心']"
2019/4/29,ef,福州市Adults,2,"['福州鼓楼GLS中心', '福州仓山CSC中心']"
2019/4/29,ef,长沙市Adults,1,['长沙悦方IDC中心']
